CPU,CPI,INSTRET,CYCLES,BENCH
torv1,1.813,16388574,29721095,0.959
torv2,1.291,16388429,21158484,1.348
torv3,1.119,16388419,18353592,1.554
torv4,1.107,16388380,18147671,1.571
torv5,1.076,16388341,17648388,1.616
