0,core7,1.146,7.031,77.307,113801817,99264844,25.657,2.069,1.458,25468291,2054084,1447564,14,7
1,core7,1.146,7.033,77.366,113771898,99264836,25.657,2.069,1.458,25468290,2054084,1447564,14,7
2,core7,1.141,7.061,78.257,113318011,99264835,25.657,2.069,1.458,25468294,2054084,1447564,14,7
3,core7,1.134,7.108,79.722,112571920,99264872,25.657,2.069,1.458,25468308,2054087,1447567,14,7
4,core7,1.131,7.121,80.117,112370769,99264875,25.657,2.069,1.458,25468310,2054087,1447567,14,7
5,core7,1.125,7.160,81.308,111764063,99264843,25.657,2.069,1.458,25468302,2054087,1447567,14,7
6,core7,1.123,7.172,81.691,111568636,99264823,25.657,2.069,1.458,25468305,2054087,1447567,14,7
0,core7,1.146,7.031,77.307,113801817,99264844,25.657,2.069,1.458,25468291,2054084,1447564,14,7
1,core7,1.146,7.033,77.366,113771898,99264836,25.657,2.069,1.458,25468290,2054084,1447564,14,7
2,core7,1.141,7.061,78.257,113318011,99264835,25.657,2.069,1.458,25468294,2054084,1447564,14,7
3,core7,1.134,7.108,79.722,112571920,99264872,25.657,2.069,1.458,25468308,2054087,1447567,14,7
4,core7,1.131,7.121,80.117,112370769,99264875,25.657,2.069,1.458,25468310,2054087,1447567,14,7
