CPU,CPI,BENCH,CYCLES,INSTRET
torv1,1.883,4.280,186911664,99242877
torv2,1.422,5.666,141196843,99242893
torv3,1.214,6.635,120575388,99242886
torv4,1.163,6.927,115494843,99242871
torv5,1.100,7.323,109246356,99242788
