CPU,BENCH,CPI,CYCLES,INSTRET
torv1,0.723,1.860,414876034,222951387
torv2,0.930,1.445,322366875,222951387
torv3,1.121,1.199,267458628,222951240
torv4,1.123,1.198,267166239,222951269
torv5,1.177,1.143,254904944,222951268
