CORE,CPI,RAYS
core2,1.883,4.280
core2_1,1.883,4.280
core3,1.422,5.666
core4,1.214,6.635
core5(16),1.160,6.948
core6(16),1.147,7.024
core7(16/7),1.123,7.176
core8(16/14),1.103,7.304
core7(9,7),1.150,7.006
core4(4),1.214,6.635
core3,1.422,5.666
core3(4),1.422,5.666
