CPU,CPI,INSTRET,CYCLES,BENCH
torvs5C1,0.915,18244583,16696853,1.708
torvs5C2,0.890,18244572,16246327,1.756
torvs5C3,0.841,18244558,15345884,1.859
torvs5C4,0.873,16940963,14789892,1.928

torvs7C1,0.848,17144553,14546976,1.961
torvs7C2,0.822,17144547,14096488,2.025
torvs7C3,0.769,17144493,13196066,2.163
torvs7C4,0.809,16792853,13591983,2.099

torvs9C1,0.814,16691700,13591244,2.099
torvs9C2,0.787,16691676,13140706,2.171
torvs9C3,0.733,16691773,12240571,2.331
torvs9C4,0.775,16489116,12784787,2.231
