CORE,CPI,RAYS,HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,5
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,6
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,7
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,8
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,9
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,10
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,11
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,12
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,13
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,14
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,15
core4,1.214,6.635,63.952,120604945,99265051,25.657,2.069,1.458,25468378,2054087,1447567,16
