CORE,CPI,INSTRET,CYCLES,MIPS,HITS,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,5
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,6
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,7
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,8
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,9
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,10
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,11
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,12
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,13
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,14
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,15
core4,1.122,16565010,18588974,1.553,84.585,19.747,1.825,1.522,3275167,302651,252484,16
