
core8(5,8),1.109,16564968,18386631,1.571
core8(6,8),1.097,16564965,18186570,1.588
core8(7,8),1.085,16564936,17986555,1.606
core8(8,8),1.067,16564680,17687269,1.634
core8(9,8),1.067,16564707,17686653,1.634
core8(10,8),1.067,16564737,17686413,1.634
core8(11,8),1.067,16564739,17686289,1.634
core8(12,8),1.067,16564733,17686267,1.634
core8(13,8),1.067,16564733,17686269,1.634
core8(14,8),1.067,16564733,17686257,1.634
core8(15,8),1.067,16564733,17686261,1.634
core8(16,8),1.067,16564733,17686261,1.634



