
core8,1.163,6.926,73.915,115529881,99265028,25.657,2.069,1.458,25468385,2054087,1447567,5,8
core8,1.161,6.942,74.448,115258475,99265032,25.657,2.069,1.458,25468385,2054087,1447567,6,8
core8,1.154,6.981,75.703,114618975,99265010,25.657,2.069,1.458,25468377,2054087,1447567,7,8
core8,1.159,6.950,74.680,115139871,99264843,25.657,2.069,1.458,25468314,2054087,1447567,8,8
core8,1.147,7.022,76.999,113958339,99264642,25.657,2.069,1.458,25468225,2054084,1447564,9,8
core8,1.135,7.097,79.363,112754359,99264639,25.657,2.069,1.458,25468228,2054084,1447564,10,8
core8,1.126,7.157,81.218,111809702,99264800,25.657,2.069,1.458,25468282,2054087,1447567,11,8
core8,1.122,7.184,82.046,111388145,99264809,25.657,2.069,1.458,25468302,2054087,1447567,12,8
core8,1.120,7.191,82.264,111277249,99264820,25.657,2.069,1.458,25468301,2054087,1447567,13,8
core8,1.119,7.203,82.627,111091858,99264829,25.657,2.069,1.458,25468299,2054087,1447567,14,8
core8,1.118,7.204,82.656,111077184,99264819,25.657,2.069,1.458,25468299,2054087,1447567,15,8
core8,1.118,7.206,82.705,111052129,99264824,25.657,2.069,1.458,25468299,2054087,1447567,16,8
