
core8,1.109,16564968,18386631,1.571,87.678,19.747,1.825,1.522,3275157,302651,252484,5,8
core8,1.097,16564965,18186570,1.588,90.733,19.747,1.825,1.522,3275138,302648,252481,6,8
core8,1.085,16564936,17986555,1.606,93.786,19.747,1.825,1.522,3275141,302648,252481,7,8
core8,1.067,16564680,17687269,1.634,98.346,19.747,1.825,1.522,3275064,302648,252481,8,8
core8,1.067,16564707,17686653,1.634,98.358,19.747,1.825,1.522,3275080,302648,252481,9,8
core8,1.067,16564737,17686413,1.634,98.366,19.747,1.825,1.522,3275089,302648,252481,10,8
core8,1.067,16564739,17686289,1.634,98.369,19.747,1.825,1.522,3275092,302648,252481,11,8
core8,1.067,16564733,17686267,1.634,98.369,19.747,1.825,1.522,3275089,302648,252481,12,8
core8,1.067,16564733,17686269,1.634,98.369,19.747,1.825,1.522,3275089,302648,252481,13,8
core8,1.067,16564733,17686257,1.634,98.369,19.747,1.825,1.522,3275089,302648,252481,14,8
core8,1.067,16564733,17686261,1.634,98.370,19.747,1.825,1.522,3275089,302648,252481,15,8
core8,1.067,16564733,17686261,1.634,98.370,19.747,1.825,1.522,3275089,302648,252481,16,8
