CORE,CPI,RAYS,HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BPH
core7,1.198,6.728,67.231,118900132,99242838,25.655,2.070,1.459,25460986,2054087,1447567,5,7
core7,1.182,6.817,70.255,117360059,99242851,25.655,2.070,1.459,25460994,2054087,1447567,6,7
core7,1.169,6.892,72.774,116077595,99242851,25.655,2.070,1.459,25460994,2054087,1447567,7,7
core7,1.153,6.988,75.910,114480565,99242837,25.655,2.070,1.459,25460986,2054087,1447567,8,7
core7,1.142,7.058,78.127,113351410,99242675,25.655,2.070,1.459,25460909,2054084,1447564,9,7
core7,1.134,7.106,79.648,112576942,99242738,25.655,2.070,1.459,25460930,2054087,1447567,10,7
core7,1.129,7.137,80.604,112090388,99242754,25.655,2.070,1.459,25460938,2054087,1447567,11,7
core7,1.126,7.159,81.266,111753101,99242773,25.655,2.070,1.459,25460938,2054087,1447567,12,7
core7,1.124,7.167,81.537,111615088,99242736,25.655,2.070,1.459,25460948,2054087,1447567,13,7
core7,1.123,7.172,81.687,111538600,99242746,25.655,2.070,1.459,25460946,2054087,1447567,14,7
core7,1.123,7.175,81.780,111491330,99242756,25.655,2.070,1.459,25460946,2054087,1447567,15,7
core7,1.123,7.176,81.798,111482220,99242746,25.655,2.070,1.459,25460946,2054087,1447567,16,7
