CORE,C/MHz,CPI,HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,5
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,6
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,7
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,8
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,9
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,10
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,11
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,12
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,13
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,14
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,15
core3,0.930,1.445,38.226,322438171,222989680,27.911,1.938,1.588,62239437,4320535,3542147,16
